u

Блок 1Aerogel
Название блока данных:     Aerogel
Дата регистрации данных:   03.05.2024
Время регистрации данных:  13-17-06
Комментарий пользователя:  Aerogel
Прибор:        P-20X8
Номер канала:  1

Цикл 2, Шаг 1
Физический номер цикла: 2
Комментарий пользователя к шагу данных: 
Приборный комментарий: Шаг завершен по пределу потенциала
Тип работы: Гальваностат
Потенциал РЦ "До" (Вольт)     : не измерялся
Потенциал РЦ "После" (Вольт)  : не измерялся
Потенциал установления (Вольт): не измерялся
Ток установления (Ампер)      : не измерялся
Скорость развертки: 0 A/с.
Количество точек данных: 681
Время, с.,                   Потенциал, В,                   Ток, А
654                0,746563971043                0,000600105908                
656                0,746996998787                0,000600105908                
658                0,74721300602                0,000600105908                
660                0,747430026531                0,000600105908                
662                0,747645974159                0,000600105908                
664                0,748079001904                0,000600105908                
666                0,748295009136                0,000600105908                
668                0,748512029648                0,000600105908                
670                0,748943984509                0,000600105908                
672                0,74916100502                0,000600105908                
674                0,749377012253                0,000600105908                
676                0,74959397316                0,000600105908                
678                0,750025987625                0,000600105908                
680                0,750243008137                0,000600105908                
682                0,750459015369                0,000600105908                
684                0,750675976276                0,000600105908                
686                0,750891983509                0,000600105908                
688                0,751107990742                0,000600105908                
690                0,751541018486                0,000600105908                
692                0,751757979393                0,000600105908                
694                0,751973986626                0,000600105908                
696                0,752189993858                0,000600105908                
698                0,75240701437                0,000600105908                
700                0,752623021603                0,000600105908                
702                0,75283998251                0,000600105908                
704                0,753271996975                0,000600105908                
706                0,753489017487                0,000600105908                
708                0,753705024719                0,000600105908                
710                0,753921985626                0,000600105908                
712                0,754137992859                0,000600105908                
714                0,754354000092                0,000600105908                
716                0,754571020603                0,000600105908                
718                0,754787027836                0,000600105908                
720                0,755003988743                0,000600105908                
722                0,755219995975                0,000600105908                
724                0,755436003208                0,000600105908                
726                0,75565302372                0,000600105908                
728                0,755868971348                0,000600105908                
730                0,756085991859                0,000600105908                
732                0,756301999092                0,000600105908                
734                0,756518006325                0,000600105908                
736                0,756735026836                0,000600105908                
738                0,756950974464                0,000600105908                
740                0,757167994976                0,000600105908                
742                0,757384002209                0,000600105908                
744                0,757600009441                0,000600105908                
746                0,757816970348                0,000600105908                
748                0,758032977581                0,000600105908                
750                0,758248984814                0,000600105908                
752                0,758466005325                0,000600105908                
754                0,758682012558                0,000600022846                
756                0,758898973465                0,000600022846                
758                0,759114980698                0,000600105908                
760                0,75933098793                0,000600105908                
762                0,759548008442                0,000600105908                
764                0,759764015675                0,000600105908                
766                0,759764015675                0,000600105908                
768                0,759980976582                0,000600105908                
770                0,760196983814                0,000600105908                
772                0,760412991047                0,000600105908                
774                0,760630011559                0,000600105908                
776                0,760846018791                0,000600105908                
778                0,761062979698                0,000600105908                
780                0,761278986931                0,000600105908                
782                0,761494994164                0,000600105908                
784                0,761712014675                0,000600105908                
786                0,761712014675                0,000600105908                
788                0,761928021908                0,000600105908                
790                0,762144982815                0,000600105908                
792                0,762360990047                0,000600105908                
794                0,76257699728                0,000600105908                
796                0,762794017792                0,000600105908                
798                0,763010025024                0,000600105908                
800                0,763010025024                0,000600105908                
802                0,763226985931                0,000600105908                
804                0,763442993164                0,000600105908                
806                0,763659000397                0,000600105908                
808                0,763876020908                0,000600105908                
810                0,763876020908                0,000600105908                
812                0,764092028141                0,000600105908                
814                0,764308989048                0,000600105908                
816                0,764524996281                0,000600105908                
818                0,764741003513                0,000600105908                
